time,massFlow,signal,unit,anomaly
60.00066085,0.430400398042255,2019_07_01,A1,1
120.00040185,0.480976340976573,2019_07_01,A1,1
180.00054765,0.454491855187118,2019_07_01,A1,1
240.00051035,0.43822356793556,2019_07_01,A1,1
300.00055735,0.431184150894147,2019_07_01,A1,1
360.00098995,0.426544907358843,2019_07_01,A1,1
420.00069045,0.210940861880945,2019_07_01,A1,1
480.00101455,0.282409560367977,2019_07_01,A1,1
540.00021085,0.284206685882885,2019_07_01,A1,1
600.00061545,0.281552150377129,2019_07_01,A1,1
660.00042635,0.281682636740188,2019_07_01,A1,1
720.00016675,0.276072842739581,2019_07_01,A1,1
780.00038655,0.273273062722217,2019_07_01,A1,1
840.00025475,0.273549544831078,2019_07_01,A1,1
900.00185765,0.274199522398064,2019_07_01,A1,1
960.00227795,0.277645774045446,2019_07_01,A1,1
1020.00217395,0.27543849149366,2019_07_01,A1,1
1080.00265795,0.269898181236302,2019_07_01,A1,1
1140.00286395,0.26265800929939,2019_07_01,A1,1
1200.00402895,0.266652016409477,2019_07_01,A1,1
1260.00312395,0.262447104241475,2019_07_01,A1,1
1320.00306795,0.260453781904842,2019_07_01,A1,1
1380.00507095,0.261663468355915,2019_07_01,A1,1
1440.00553095,0.263771533880244,2019_07_01,A1,1
1500.00556995,0.259900283440037,2019_07_01,A1,1
1560.00547795,0.25488442273956,2019_07_01,A1,1
1620.00559795,0.254107231009882,2019_07_01,A1,1
1680.00548095,0.25356132869049,2019_07_01,A1,1
1740.00707795,0.254167649414233,2019_07_01,A1,1
1800.00629595,0.260288687287948,2019_07_01,A1,1
1860.00694495,0.26045064328025,2019_07_01,A1,1
1920.00709095,0.262204646086962,2019_07_01,A1,1
1980.00609495,0.257641096826225,2019_07_01,A1,1
2040.00619295,0.256172424368124,2019_07_01,A1,1
2100.00622895,0.254022087698672,2019_07_01,A1,1
2160.00624295,0.253647340146209,2019_07_01,A1,1
2220.00627295,0.254111321246337,2019_07_01,A1,1
2280.00636295,0.252480375591979,2019_07_01,A1,1
2340.00648995,0.251257567036523,2019_07_01,A1,1
2400.00646795,0.253437954306173,2019_07_01,A1,1
2460.00639395,0.256875641558827,2019_07_01,A1,1
2520.00641295,0.252533331426693,2019_07_01,A1,1
2580.00639395,0.253324279612643,2019_07_01,A1,1
2640.00648295,0.255319455092589,2019_07_01,A1,1
2700.00648795,0.254240572152511,2019_07_01,A1,1
2760.00653395,0.256563933453685,2019_07_01,A1,1
2820.00657595,0.249903504190343,2019_07_01,A1,1
2880.00668395,0.254311057504007,2019_07_01,A1,1
2940.00678095,0.252911417897387,2019_07_01,A1,1
3000.00681795,0.256625837688973,2019_07_01,A1,1
3060.00684695,0.246391224712286,2019_07_01,A1,1
3120.00694095,0.252676956531587,2019_07_01,A1,1
3180.00699395,0.253784337439033,2019_07_01,A1,1
3240.00713795,0.253996260882695,2019_07_01,A1,1
3300.00810895,0.251352794016359,2019_07_01,A1,1
3360.00711595,0.254784404341479,2019_07_01,A1,1
3420.00712895,0.256151622678983,2019_07_01,A1,1
3480.00717995,0.252397185556897,2019_07_01,A1,1
3540.00736795,0.255099935531524,2019_07_01,A1,1
3600.00736195,0.257604735617911,2019_07_01,A1,1
3660.00740895,0.252677340509424,2019_07_01,A1,1
3720.00748295,0.253771616033968,2019_07_01,A1,1
3780.00754495,0.25596487497793,2019_07_01,A1,1
3840.00761495,0.25598721257842,2019_07_01,A1,1
3900.00767895,0.254898963872988,2019_07_01,A1,1
3960.00777995,0.257718360231029,2019_07_01,A1,1
4020.00781695,0.255880466207443,2019_07_01,A1,1
4080.00786795,0.254662515816108,2019_07_01,A1,1
4140.00785995,0.251102155416946,2019_07_01,A1,1
4200.00798295,0.253202023802906,2019_07_01,A1,1
4260.00806295,0.254459874698455,2019_07_01,A1,1
4320.00908295,0.252366016410128,2019_07_01,A1,1
4380.01008095,0.250013489346736,2019_07_01,A1,1
4440.00934595,0.252531979143522,2019_07_01,A1,1
4500.00930395,0.251694435839394,2019_07_01,A1,1
4560.00938995,0.251297684583867,2019_07_01,A1,1
4620.00957295,0.255900633488675,2019_07_01,A1,1
4680.00954995,0.251909598040463,2019_07_01,A1,1
4740.00974695,0.250607572804075,2019_07_01,A1,1
4800.00968595,0.250042721882838,2019_07_01,A1,1
4860.00932695,0.25033584869851,2019_07_01,A1,1
4920.00947795,0.255830265019484,2019_07_01,A1,1
4980.00951095,0.258558691568852,2019_07_01,A1,1
5040.00946395,0.253903421237238,2019_07_01,A1,1
5100.00953095,0.254405850397583,2019_07_01,A1,1
5160.00956595,0.254032989375375,2019_07_01,A1,1
5220.00962595,0.256512597053693,2019_07_01,A1,1
5280.00967595,0.257656789921175,2019_07_01,A1,1
5340.00977195,0.252540159588421,2019_07_01,A1,1
5400.00977195,0.25288802852421,2019_07_01,A1,1
5460.00984495,0.254550243486161,2019_07_01,A1,1
5520.00990195,0.247665653512755,2019_07_01,A1,1
5580.00991895,0.250900349000843,2019_07_01,A1,1
5640.00966195,0.252113591469295,2019_07_01,A1,1
5700.00970095,0.257954424310071,2019_07_01,A1,1
5760.00978295,0.257418338507753,2019_07_01,A1,1
5820.00980595,0.249917928469475,2019_07_01,A1,1
5880.00986295,0.251843436662022,2019_07_01,A1,1
5940.00990095,0.250013756470278,2019_07_01,A1,1
6000.00994695,0.254545034703136,2019_07_01,A1,1
6060.01004095,0.253156730887488,2019_07_01,A1,1
6120.01007895,0.252806224159241,2019_07_01,A1,1
6180.00909795,0.251906242400751,2019_07_01,A1,1
6240.00923595,0.251467002956972,2019_07_01,A1,1
6300.00931595,0.246817776137941,2019_07_01,A1,1
6360.00923995,0.257622732579885,2019_07_01,A1,1
6420.00921095,0.24781063090082,2019_07_01,A1,1
6480.00926995,0.252906025486184,2019_07_01,A1,1
6540.00928495,0.254899648361309,2019_07_01,A1,1
6600.00943795,0.253876175392215,2019_07_01,A1,1
6660.00946395,0.25165673904138,2019_07_01,A1,1
6720.00954195,0.253538223106316,2019_07_01,A1,1
6780.00954795,0.254321324772802,2019_07_01,A1,1
6840.00964895,0.252126797041032,2019_07_01,A1,1
6900.00974195,0.25374156543377,2019_07_01,A1,1
6960.00970795,0.253594350952563,2019_07_01,A1,1
7020.00971595,0.254692132358056,2019_07_01,A1,1
7080.00980595,0.251620477993891,2019_07_01,A1,1
7140.00989795,0.25083747648823,2019_07_01,A1,1
7200.00995195,0.251428972261533,2019_07_01,A1,1
7260.01004995,0.248732566281963,2019_07_01,A1,1
7320.01009195,0.251272826073223,2019_07_01,A1,1
7380.00988595,0.252974908124438,2019_07_01,A1,1
7440.00988195,0.249206113497102,2019_07_01,A1,1
7500.00992595,0.258847561213362,2019_07_01,A1,1
7560.01105595,0.253852769297558,2019_07_01,A1,1
7620.01110295,0.256054475809961,2019_07_01,A1,1
7680.01014695,0.254914573500583,2019_07_01,A1,1
7740.01018295,0.252315264309624,2019_07_01,A1,1
7800.01024595,0.252987228858195,2019_07_01,A1,1
7860.01034195,0.255084192384172,2019_07_01,A1,1
7920.01032795,0.246972052517477,2019_07_01,A1,1
7980.01045095,0.250905324047268,2019_07_01,A1,1
8040.01060595,0.247741381006209,2019_07_01,A1,1
8100.01071195,0.253121438145332,2019_07_01,A1,1
8160.01045895,0.25256445046504,2019_07_01,A1,1
8220.01046095,0.253083023472056,2019_07_01,A1,1
8280.01054495,0.253933471837436,2019_07_01,A1,1
8340.01063595,0.25244723647561,2019_07_01,A1,1
8400.01069395,0.252824605099052,2019_07_01,A1,1
8460.01086395,0.252730914030566,2019_07_01,A1,1
8520.01084395,0.247104291807005,2019_07_01,A1,1
8580.01094495,0.245743985098583,2019_07_01,A1,1
8640.01083395,0.256219002792829,2019_07_01,A1,1
8700.01085295,0.250923871949796,2019_07_01,A1,1
8760.01095395,0.249666922585697,2019_07_01,A1,1
8820.01089895,0.247439823343575,2019_07_01,A1,1
8880.01089995,0.247614250310871,2019_07_01,A1,1
8940.01189995,0.247540042035297,2019_07_01,A1,1
9000.01204895,0.246539123709823,2019_07_01,A1,1
9060.01206595,0.247412494003189,2019_07_01,A1,1
9120.01113295,0.2497382092518,2019_07_01,A1,1
9180.01123295,0.252561345255399,2019_07_01,A1,1
9240.01128495,0.251094242095589,2019_07_01,A1,1
9300.01134495,0.248786106416164,2019_07_01,A1,1
9360.01139095,0.25007816489424,2019_07_01,A1,1
9420.01145695,0.247962670187214,2019_07_01,A1,1
9480.01122295,0.245158432677039,2019_07_01,A1,1
9540.01126995,0.249830381102407,2019_07_01,A1,1
9600.01151595,0.249534482946509,2019_07_01,A1,1
9660.01208095,0.250030417842551,2019_07_01,A1,1
9720.01125595,0.253800681635362,2019_07_01,A1,1
9780.01135995,0.253314579949865,2019_07_01,A1,1
9840.01126695,0.25554221343907,2019_07_01,A1,1
9900.01134695,0.253498639806057,2019_07_01,A1,1
9960.01143795,0.24820255737917,2019_07_01,A1,1
10020.01146795,0.251888495868848,2019_07_01,A1,1
10080.01149795,0.252971953156034,2019_07_01,A1,1
10140.01151795,0.25442633488277,2019_07_01,A1,1
10200.01158795,0.25427571465343,2019_07_01,A1,1
10260.01161795,0.256685054023381,2019_07_01,A1,1
10320.01171795,0.257413530396036,2019_07_01,A1,1
10380.01171795,0.256150470745471,2019_07_01,A1,1
10440.01259795,0.256760581195185,2019_07_01,A1,1
10500.01267795,0.25333593257956,2019_07_01,A1,1
10560.01263795,0.258433180280227,2019_07_01,A1,1
10620.01270795,0.261433297548218,2019_07_01,A1,1
10680.01387795,0.260612732820319,2019_07_01,A1,1
10740.01397795,0.263835391391661,2019_07_01,A1,1
10800.01314795,0.259358638263798,2019_07_01,A1,1
10860.01420795,0.259400074679362,2019_07_01,A1,1
10920.01432795,0.257680880476144,2019_07_01,A1,1
10980.01444795,0.253747792574531,2019_07_01,A1,1
11040.01418795,0.262280507128182,2019_07_01,A1,1
11100.01429795,0.258409173192612,2019_07_01,A1,1
11160.01438795,0.258933622749493,2019_07_01,A1,1
